-74.4605419,40.5216867
-74.4605459,40.5216892
-74.4605459,40.5216892
-74.4605495,40.5216902
-74.4605536,40.5216906
-74.460555,40.5216892
-74.4605559,40.5216865
-74.4605514,40.5216784
-74.4605449,40.5216771
-74.4605393,40.5216776
-74.4605364,40.5216743
-74.460529,40.5216712
-74.4605231,40.5216694
-74.4605182,40.5216698
-74.4605134,40.5216699
-74.4605122,40.5216676
-74.4605078,40.5216646
-74.4605049,40.5216645
-74.460498,40.5216611
-74.460486,40.5216552
-74.4604787,40.5216518
-74.4604688,40.5216468
-74.4604614,40.5216458
-74.4604526,40.5216435
-74.4604427,40.5216393
-74.4604297,40.5216313
-74.4604198,40.5216252
-74.4604109,40.5216194
-74.4604025,40.5216142
-74.4603929,40.5216081
-74.4603817,40.5216025
-74.460373,40.5215985
-74.460361,40.5215941
-74.4603502,40.5215901
-74.4603378,40.5215847
-74.4603269,40.5215806
-74.4603168,40.5215812
-74.4603035,40.5215752
-74.460291,40.5215689
-74.4602827,40.5215652
-74.460274,40.5215615
-74.4602643,40.5215579
-74.46026,40.5215563
-74.4602517,40.5215538
-74.460244,40.5215511
-74.4602345,40.5215467
-74.460226,40.5215456
-74.4602184,40.5215437
-74.4602165,40.5215376
-74.4602181,40.5215319
-74.4602215,40.5215238
-74.460225,40.5215148
-74.4602299,40.5215057
-74.4602349,40.5215034
-74.4602393,40.5215045
-74.4602421,40.5215065
-74.4602421,40.5215065
-74.4602405,40.5215085
-74.4602395,40.5215103
-74.4602487,40.5215082
-74.4602574,40.5215044
-74.4602635,40.5214988
-74.4602684,40.5214895
-74.4602752,40.5214818
-74.4602823,40.5214748
-74.4602844,40.5214665
-74.4602927,40.5214609
-74.4602997,40.5214533
-74.4603048,40.5214455
-74.46031,40.5214379
-74.4603167,40.5214303
-74.4603235,40.5214231
