$GNGGA,201110.000,4031.287018,N,07427.627307,W,1,14,0.91,24.813,M,-34.144,M,,*7A
$GNGGA,201111.000,4031.287031,N,07427.627363,W,1,14,0.91,24.641,M,-34.143,M,,*7C
$GNGGA,201112.000,4031.287247,N,07427.627837,W,1,14,0.91,25.155,M,-34.143,M,,*75
$GNGGA,201113.000,4031.287581,N,07427.628507,W,1,14,0.92,25.442,M,-34.143,M,,*78
$GNGGA,201114.000,4031.287962,N,07427.629311,W,1,14,0.84,25.598,M,-34.143,M,,*7F
$GNGGA,201115.000,4031.288331,N,07427.629880,W,1,14,0.84,25.984,M,-34.144,M,,*78
$GNGGA,201116.000,4031.288671,N,07427.630641,W,1,14,0.84,26.018,M,-34.144,M,,*7E
$GNGGA,201117.000,4031.288979,N,07427.631360,W,1,14,0.85,26.068,M,-34.144,M,,*79
$GNGGA,201118.000,4031.289446,N,07427.631970,W,1,14,0.84,26.600,M,-34.143,M,,*73
$GNGGA,201119.000,4031.289837,N,07427.632640,W,1,14,0.85,26.943,M,-34.143,M,,*7E
$GNGGA,201120.000,4031.290282,N,07427.633352,W,1,14,0.84,27.212,M,-34.143,M,,*70
$GNGGA,201121.000,4031.290614,N,07427.634076,W,1,14,0.87,27.416,M,-34.143,M,,*79
$GNGGA,201122.000,4031.290884,N,07427.634817,W,1,14,0.87,27.551,M,-34.143,M,,*70
$GNGGA,201123.000,4031.291135,N,07427.635609,W,1,14,0.87,27.673,M,-34.143,M,,*70
$GNGGA,201124.000,4031.291481,N,07427.636433,W,1,14,0.82,27.676,M,-34.143,M,,*75
$GNGGA,201125.000,4031.291568,N,07427.637047,W,1,14,0.91,27.899,M,-34.143,M,,*79
$GNGGA,201126.000,4031.291813,N,07427.637521,W,1,14,0.91,28.174,M,-34.143,M,,*7B
$GNGGA,201127.000,4031.292061,N,07427.637544,W,1,14,0.91,28.216,M,-34.143,M,,*70
$GNGGA,201128.000,4031.292410,N,07427.636890,W,1,14,0.84,28.711,M,-34.143,M,,*7E
$GNGGA,201129.000,4031.293020,N,07427.636224,W,1,13,0.91,29.226,M,-34.143,M,,*7F
$GNGGA,201130.000,4031.293590,N,07427.635611,W,1,13,0.91,29.751,M,-34.144,M,,*7A
$GNGGA,201131.000,4031.294277,N,07427.635032,W,1,14,0.84,29.934,M,-34.143,M,,*7C
$GNGGA,201132.000,4031.294847,N,07427.634499,W,1,14,0.84,29.973,M,-34.144,M,,*76
$GNGGA,201133.000,4031.295416,N,07427.634023,W,1,13,0.91,30.034,M,-34.143,M,,*7D
$GNGGA,201134.000,4031.295952,N,07427.633515,W,1,14,0.84,29.862,M,-34.143,M,,*70
$GNGGA,201135.000,4031.296434,N,07427.633057,W,1,13,0.91,29.595,M,-34.143,M,,*7A
$GNGGA,201136.000,4031.296807,N,07427.632625,W,1,14,0.84,29.589,M,-34.143,M,,*79
$GNGGA,201137.000,4031.297237,N,07427.632215,W,1,13,0.91,29.650,M,-34.143,M,,*73
$GNGGA,201138.000,4031.297565,N,07427.631899,W,1,13,0.91,29.745,M,-34.143,M,,*74
$GNGGA,201139.000,4031.298151,N,07427.631548,W,1,13,1.07,29.820,M,-34.143,M,,*7A
$GNGGA,201140.000,4031.298855,N,07427.631085,W,1,14,1.07,29.770,M,-34.143,M,,*70
$GNGGA,201141.000,4031.299222,N,07427.630759,W,1,14,0.91,29.813,M,-34.143,M,,*79
$GNGGA,201142.000,4031.299506,N,07427.630621,W,1,14,0.89,29.516,M,-34.143,M,,*74
$GNGGA,201143.000,4031.299550,N,07427.630563,W,1,14,0.89,29.761,M,-34.143,M,,*71
$GNGGA,201144.000,4031.299569,N,07427.630770,W,1,14,0.84,29.580,M,-34.143,M,,*7C
$GNGGA,201145.000,4031.299569,N,07427.630770,W,1,14,0.84,29.580,M,-34.143,M,,*7D
$GNGGA,201146.000,4031.299547,N,07427.630794,W,1,14,0.92,29.633,M,-34.143,M,,*74
